Source | Destination | Message Type | Message Length | TimeStamp
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:34.647519
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:34.647519
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:34.684883
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:34.684883
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:34.848485
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:34.848485
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:34.886692
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:34.886692
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:35.050340
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:35.050340
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:35.087717
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:35.087717
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:35.252203
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:35.252203
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:35.289434
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:35.289434
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:35.453795
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:35.453795
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:35.490420
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:35.490420
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:35.654958
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:35.654958
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:35.691592
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:35.691592
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:35.856595
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:35.856595
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:35.892851
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:35.892851
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:36.057592
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:36.057592
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:36.094703
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:36.094703
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:36.259032
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:36.259032
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:36.296250
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:36.296250
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:36.460046
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:36.460046
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:36.498133
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:36.498133
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:36.661892
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:36.661892
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:36.699123
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:36.699123
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:36.863514
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:36.863514
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:36.900275
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:36.900275
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:37.065367
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:37.065367
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:37.101716
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:37.101716
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:37.267283
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:37.267283
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:37.303264
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:37.303264
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:37.468661
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:37.468661
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:37.504796
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:37.504796
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:37.669803
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:37.669803
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:37.706321
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:37.706321
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:37.870274
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:37.870274
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:37.907505
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:37.907505
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:38.072207
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:38.072207
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:38.109317
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:38.109317
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:38.273234
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:38.273234
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:38.310344
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:38.310344
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:38.474411
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:38.474411
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:38.511522
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:38.511522
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:38.675589
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:38.675589
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:38.712699
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:38.712699
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:38.877271
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:38.877271
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:38.914381
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:38.914381
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:39.078448
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:39.078448
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:39.115558
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:39.115558
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:39.279625
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:39.279625
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:39.316735
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:39.316735
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:39.480802
6819	|	5035	|	DATA		|		10		|	2022-11-22 01:18:39.481779
6546	|	7821	|	DATA		|		10		|	2022-11-22 01:18:39.517912
7821	|	6546	|	DATA		|		10		|	2022-11-22 01:18:39.517912
5035	|	6819	|	DATA		|		10		|	2022-11-22 01:18:39.681980
